"","uid","site_id","date_col","visit_no","state","analyte","result","source"
"1",2010177,"NLA17_NV-10018","30-May-17",1,"NV","ntl",1.343,"NLA 2017"
"2",2010177,"NLA17_NV-10018","30-May-17",1,"NV","turb",3.16,"NLA 2017"
"3",2010177,"NLA17_NV-10018","30-May-17",1,"NV","ptl",92.325,"NLA 2017"
"4",2010178,"NLA17_NV-10036","31-May-17",1,"NV","ptl",234.695,"NLA 2017"
"5",2010178,"NLA17_NV-10036","31-May-17",1,"NV","ntl",0.9,"NLA 2017"
"6",2010178,"NLA17_NV-10036","31-May-17",1,"NV","turb",2.72,"NLA 2017"
"7",2010179,"NLA17_ND-10011","1-Jun-17",1,"ND","ntl",2.75,"NLA 2017"
"8",2010179,"NLA17_ND-10011","1-Jun-17",1,"ND","turb",2.68,"NLA 2017"
"9",2010179,"NLA17_ND-10011","1-Jun-17",1,"ND","ptl",63.3475,"NLA 2017"
"10",2010180,"NLA17_NV-10242","1-Jun-17",1,"NV","turb",0.68,"NLA 2017"
"11",2010180,"NLA17_NV-10242","1-Jun-17",1,"NV","ptl",700.47,"NLA 2017"
"12",2010180,"NLA17_NV-10242","1-Jun-17",1,"NV","ntl",2.323,"NLA 2017"
"13",2010181,"NLA17_OH-10016","1-Jun-17",1,"OH","ntl",1.735,"NLA 2017"
"14",2010181,"NLA17_OH-10016","1-Jun-17",1,"OH","ptl",170.41125,"NLA 2017"
"15",2010181,"NLA17_OH-10016","1-Jun-17",1,"OH","turb",10.57,"NLA 2017"
"16",2010182,"NLA17_TN-10003","2-Jun-17",1,"TN","ntl",1.278,"NLA 2017"
"17",2010182,"NLA17_TN-10003","2-Jun-17",1,"TN","turb",19.97,"NLA 2017"
"18",2010182,"NLA17_TN-10003","2-Jun-17",1,"TN","ptl",463.12625,"NLA 2017"
"19",2010183,"NLA17_AZ-10004","1-Jun-17",1,"AZ","turb",0.73,"NLA 2017"
"20",2010183,"NLA17_AZ-10004","1-Jun-17",1,"AZ","ntl",0.615,"NLA 2017"
"21",2010183,"NLA17_AZ-10004","1-Jun-17",1,"AZ","ptl",192.115,"NLA 2017"
"22",2010184,"NLA17_MI-10011","5-Jun-17",1,"MI","turb",1.05,"NLA 2017"
"23",2010184,"NLA17_MI-10011","5-Jun-17",1,"MI","ptl",12.9225,"NLA 2017"
"24",2010184,"NLA17_MI-10011","5-Jun-17",1,"MI","ntl",0.52,"NLA 2017"
"25",2010185,"NLA17_ND-10015","5-Jun-17",1,"ND","turb",5.71,"NLA 2017"
"26",2010185,"NLA17_ND-10015","5-Jun-17",1,"ND","ptl",49.725,"NLA 2017"
"27",2010185,"NLA17_ND-10015","5-Jun-17",1,"ND","ntl",1.866,"NLA 2017"
"28",2010186,"NLA17_CA-10064","5-Jun-17",1,"CA","ntl",0.701,"NLA 2017"
"29",2010186,"NLA17_CA-10064","5-Jun-17",1,"CA","turb",6.95,"NLA 2017"
"30",2010186,"NLA17_CA-10064","5-Jun-17",1,"CA","ptl",362.0075,"NLA 2017"
"31",2010187,"NLA17_KY-10001","6-Jun-17",1,"KY","turb",2.57,"NLA 2017"
"32",2010187,"NLA17_KY-10001","6-Jun-17",1,"KY","ptl",5.91625,"NLA 2017"
"33",2010187,"NLA17_KY-10001","6-Jun-17",1,"KY","ntl",0.121,"NLA 2017"
"34",2010188,"NLA17_ND-10008","6-Jun-17",1,"ND","turb",16.82,"NLA 2017"
"35",2010188,"NLA17_ND-10008","6-Jun-17",1,"ND","ptl",207.63875,"NLA 2017"
"36",2010188,"NLA17_ND-10008","6-Jun-17",1,"ND","ntl",3.174,"NLA 2017"
"37",2010189,"NLA17_TX-10001","6-Jun-17",1,"TX","ptl",134.5625,"NLA 2017"
"38",2010189,"NLA17_TX-10001","6-Jun-17",1,"TX","ntl",1.074,"NLA 2017"
"39",2010189,"NLA17_TX-10001","6-Jun-17",1,"TX","turb",41.28,"NLA 2017"
"40",2010190,"NLA17_KS-10005","6-Jun-17",1,"KS","turb",10.17,"NLA 2017"
"41",2010190,"NLA17_KS-10005","6-Jun-17",1,"KS","ntl",0.959,"NLA 2017"
"42",2010190,"NLA17_KS-10005","6-Jun-17",1,"KS","ptl",66.83625,"NLA 2017"
"43",2010191,"NLA17_NV-10002","6-Jun-17",1,"NV","turb",0.48,"NLA 2017"
"44",2010191,"NLA17_NV-10002","6-Jun-17",1,"NV","ptl",17.75,"NLA 2017"
"45",2010191,"NLA17_NV-10002","6-Jun-17",1,"NV","ntl",0.61,"NLA 2017"
"46",2010192,"NLA17_NV-10006","5-Jun-17",1,"NV","turb",2.51,"NLA 2017"
"47",2010192,"NLA17_NV-10006","5-Jun-17",1,"NV","ptl",21.74875,"NLA 2017"
"48",2010192,"NLA17_NV-10006","5-Jun-17",1,"NV","ntl",0.165,"NLA 2017"
"49",2010193,"NLA17_KY-10006","7-Jun-17",1,"KY","turb",6.02,"NLA 2017"
"50",2010193,"NLA17_KY-10006","7-Jun-17",1,"KY","ptl",16.17625,"NLA 2017"
"51",2010193,"NLA17_KY-10006","7-Jun-17",1,"KY","ntl",0.386,"NLA 2017"
"52",2010194,"NLA17_TX-10019","7-Jun-17",1,"TX","turb",4.09,"NLA 2017"
"53",2010194,"NLA17_TX-10019","7-Jun-17",1,"TX","ntl",0.966,"NLA 2017"
"54",2010194,"NLA17_TX-10019","7-Jun-17",1,"TX","ptl",53.165,"NLA 2017"
"55",2010195,"NLA17_TN-10004","7-Jun-17",1,"TN","turb",13.6,"NLA 2017"
"56",2010195,"NLA17_TN-10004","7-Jun-17",1,"TN","ntl",1.138,"NLA 2017"
"57",2010195,"NLA17_TN-10004","7-Jun-17",1,"TN","ptl",48.5825,"NLA 2017"
"58",2010196,"NLA17_MO-HP002","7-Jun-17",1,"MO","ptl",25.2025,"NLA 2017"
"59",2010196,"NLA17_MO-HP002","7-Jun-17",1,"MO","turb",2.11,"NLA 2017"
"60",2010196,"NLA17_MO-HP002","7-Jun-17",1,"MO","ntl",0.691,"NLA 2017"
"61",2010197,"NLA17_IA-HP002","7-Jun-17",1,"IA","ntl",0.495,"NLA 2017"
"62",2010197,"NLA17_IA-HP002","7-Jun-17",1,"IA","ptl",11.1925,"NLA 2017"
"63",2010197,"NLA17_IA-HP002","7-Jun-17",1,"IA","turb",1.22,"NLA 2017"
"64",2010198,"NLA17_ND-10035","7-Jun-17",1,"ND","ntl",5.156,"NLA 2017"
"65",2010198,"NLA17_ND-10035","7-Jun-17",1,"ND","ptl",266.94625,"NLA 2017"
"66",2010198,"NLA17_ND-10035","7-Jun-17",1,"ND","turb",25.08,"NLA 2017"
"67",2010199,"NLA17_ND-10004","7-Jun-17",1,"ND","ptl",523.64125,"NLA 2017"
"68",2010199,"NLA17_ND-10004","7-Jun-17",1,"ND","ntl",5.294,"NLA 2017"
"69",2010199,"NLA17_ND-10004","7-Jun-17",1,"ND","turb",39.33,"NLA 2017"
"70",2010200,"NLA17_GA-10002","7-Jun-17",1,"GA","ptl",182.45,"NLA 2017"
"71",2010200,"NLA17_GA-10002","7-Jun-17",1,"GA","turb",20.58,"NLA 2017"
"72",2010200,"NLA17_GA-10002","7-Jun-17",1,"GA","ntl",1.37,"NLA 2017"
"73",2010201,"NLA17_KS-10001","7-Jun-17",1,"KS","ptl",498.325,"NLA 2017"
"74",2010201,"NLA17_KS-10001","7-Jun-17",1,"KS","ntl",2.813,"NLA 2017"
"75",2010201,"NLA17_KS-10001","7-Jun-17",1,"KS","turb",343,"NLA 2017"
"76",2010202,"NLA17_SD-10020","7-Jun-17",1,"SD","turb",51.44,"NLA 2017"
"77",2010202,"NLA17_SD-10020","7-Jun-17",1,"SD","ntl",2.8,"NLA 2017"
"78",2010202,"NLA17_SD-10020","7-Jun-17",1,"SD","ptl",255.39,"NLA 2017"
"79",2010203,"NLA17_KS-10028","8-Jun-17",1,"KS","ntl",5.056,"NLA 2017"
"80",2010203,"NLA17_KS-10028","8-Jun-17",1,"KS","turb",30.54,"NLA 2017"
"81",2010203,"NLA17_KS-10028","8-Jun-17",1,"KS","ptl",99.48,"NLA 2017"
"82",2010204,"NLA17_NV-10016","7-Jun-17",1,"NV","ntl",0.629,"NLA 2017"
"83",2010204,"NLA17_NV-10016","7-Jun-17",1,"NV","turb",1.5,"NLA 2017"
"84",2010204,"NLA17_NV-10016","7-Jun-17",1,"NV","ptl",36.98625,"NLA 2017"
