"","uid","site_id","date_col","visit_no","state","analyte","result","source"
"3975",7021,"NLA12_GA-105","7/9/2012",1,"GA","turb",1.4,"NLA 2012"
"3976",6585,"NLA12_GA-107","6/13/2012",1,"GA","ntl",1.674,"NLA 2012"
"3977",6585,"NLA12_GA-107","6/13/2012",1,"GA","ptl",76,"NLA 2012"
"3978",6585,"NLA12_GA-107","6/13/2012",1,"GA","turb",19.69,"NLA 2012"
"3979",7791,"NLA12_GA-111","8/8/2012",1,"GA","ntl",0.626,"NLA 2012"
"3980",7791,"NLA12_GA-111","8/8/2012",1,"GA","ptl",46,"NLA 2012"
"3981",7791,"NLA12_GA-111","8/8/2012",1,"GA","turb",4.09,"NLA 2012"
"3982",6226,"NLA12_GA-112","5/16/2012",1,"GA","ntl",0.323,"NLA 2012"
"3983",6226,"NLA12_GA-112","5/16/2012",1,"GA","ptl",32,"NLA 2012"
"3984",6226,"NLA12_GA-112","5/16/2012",1,"GA","turb",2.32,"NLA 2012"
"3985",7993,"NLA12_GA-112","8/15/2012",2,"GA","ntl",0.338,"NLA 2012"
"3986",7993,"NLA12_GA-112","8/15/2012",2,"GA","ptl",39,"NLA 2012"
"3987",7993,"NLA12_GA-112","8/15/2012",2,"GA","turb",1.65,"NLA 2012"
"3988",8316,"NLA12_GA-114","8/29/2012",1,"GA","ntl",0.629,"NLA 2012"
"3989",8316,"NLA12_GA-114","8/29/2012",1,"GA","ptl",39,"NLA 2012"
"3990",8316,"NLA12_GA-114","8/29/2012",1,"GA","turb",3.87,"NLA 2012"
"3991",6889,"NLA12_GA-118","6/28/2012",1,"GA","ntl",0.119,"NLA 2012"
"3992",6889,"NLA12_GA-118","6/28/2012",1,"GA","ptl",14,"NLA 2012"
"3993",6889,"NLA12_GA-118","6/28/2012",1,"GA","turb",0.9,"NLA 2012"
"3994",8178,"NLA12_GA-127","8/22/2012",1,"GA","ntl",1.145,"NLA 2012"
"3995",8178,"NLA12_GA-127","8/22/2012",1,"GA","ptl",36,"NLA 2012"
"3996",8178,"NLA12_GA-127","8/22/2012",1,"GA","turb",4.47,"NLA 2012"
"3997",7461,"NLA12_GA-R01","7/25/2012",1,"GA","ntl",0.231,"NLA 2012"
"3998",7461,"NLA12_GA-R01","7/25/2012",1,"GA","ptl",28,"NLA 2012"
"3999",7461,"NLA12_GA-R01","7/25/2012",1,"GA","turb",2.23,"NLA 2012"
"4000",8027,"NLA12_GA-R11","8/16/2012",1,"GA","ntl",2.414,"NLA 2012"
"4001",8027,"NLA12_GA-R11","8/16/2012",1,"GA","ptl",81,"NLA 2012"
"4002",8027,"NLA12_GA-R11","8/16/2012",1,"GA","turb",0.23,"NLA 2012"
"4003",6604,"NLA12_IA-101","6/14/2012",1,"IA","ntl",2.234,"NLA 2012"
"4004",6604,"NLA12_IA-101","6/14/2012",1,"IA","ptl",144,"NLA 2012"
"4005",6604,"NLA12_IA-101","6/14/2012",1,"IA","turb",18.78,"NLA 2012"
"4006",7242,"NLA12_IA-101","7/17/2012",2,"IA","ntl",2.146,"NLA 2012"
"4007",7242,"NLA12_IA-101","7/17/2012",2,"IA","ptl",208,"NLA 2012"
"4008",7242,"NLA12_IA-101","7/17/2012",2,"IA","turb",26.77,"NLA 2012"
"4009",7462,"NLA12_IA-102","7/26/2012",1,"IA","ntl",1.8,"NLA 2012"
"4010",7462,"NLA12_IA-102","7/26/2012",1,"IA","ptl",684,"NLA 2012"
"4011",7462,"NLA12_IA-102","7/26/2012",1,"IA","turb",16.6,"NLA 2012"
"4012",6789,"NLA12_IA-103","6/26/2012",1,"IA","ntl",0.401,"NLA 2012"
"4013",6789,"NLA12_IA-103","6/26/2012",1,"IA","ptl",18,"NLA 2012"
"4014",6789,"NLA12_IA-103","6/26/2012",1,"IA","turb",1.48,"NLA 2012"
"4015",7017,"NLA12_IA-104","7/9/2012",1,"IA","ntl",0.699,"NLA 2012"
"4016",7017,"NLA12_IA-104","7/9/2012",1,"IA","ptl",22,"NLA 2012"
"4017",7017,"NLA12_IA-104","7/9/2012",1,"IA","turb",2.95,"NLA 2012"
"4018",6530,"NLA12_IA-105","6/11/2012",1,"IA","ntl",3.05,"NLA 2012"
"4019",6530,"NLA12_IA-105","6/11/2012",1,"IA","ptl",193,"NLA 2012"
"4020",6530,"NLA12_IA-105","6/11/2012",1,"IA","turb",27.33,"NLA 2012"
"4021",6768,"NLA12_IA-106","6/25/2012",1,"IA","ntl",1.271,"NLA 2012"
"4022",6768,"NLA12_IA-106","6/25/2012",1,"IA","ptl",241,"NLA 2012"
"4023",6768,"NLA12_IA-106","6/25/2012",1,"IA","turb",8.51,"NLA 2012"
"4024",6416,"NLA12_IA-107","6/4/2012",1,"IA","ntl",4.738,"NLA 2012"
"4025",6416,"NLA12_IA-107","6/4/2012",1,"IA","ptl",493,"NLA 2012"
"4026",6416,"NLA12_IA-107","6/4/2012",1,"IA","turb",82.99,"NLA 2012"
"4027",6660,"NLA12_IA-109","6/18/2012",1,"IA","ntl",0.763,"NLA 2012"
"4028",6660,"NLA12_IA-109","6/18/2012",1,"IA","ptl",59,"NLA 2012"
"4029",6660,"NLA12_IA-109","6/18/2012",1,"IA","turb",1.06,"NLA 2012"
"4030",6848,"NLA12_IA-113","6/28/2012",1,"IA","ntl",0.696,"NLA 2012"
"4031",6848,"NLA12_IA-113","6/28/2012",1,"IA","ptl",33,"NLA 2012"
"4032",6848,"NLA12_IA-113","6/28/2012",1,"IA","turb",2.35,"NLA 2012"
"4033",6541,"NLA12_IA-120","6/12/2012",1,"IA","ntl",0.958,"NLA 2012"
"4034",6541,"NLA12_IA-120","6/12/2012",1,"IA","ptl",191,"NLA 2012"
"4035",6541,"NLA12_IA-120","6/12/2012",1,"IA","turb",37.31,"NLA 2012"
"4036",7371,"NLA12_IA-120","7/23/2012",2,"IA","ntl",0.531,"NLA 2012"
"4037",7371,"NLA12_IA-120","7/23/2012",2,"IA","ptl",151,"NLA 2012"
"4038",7371,"NLA12_IA-120","7/23/2012",2,"IA","turb",15.49,"NLA 2012"
"4039",7041,"NLA12_IA-127","7/10/2012",1,"IA","ntl",0.86,"NLA 2012"
"4040",7041,"NLA12_IA-127","7/10/2012",1,"IA","ptl",50,"NLA 2012"
"4041",7041,"NLA12_IA-127","7/10/2012",1,"IA","turb",5.45,"NLA 2012"
"4042",6464,"NLA12_IA-132","6/7/2012",1,"IA","ntl",2.401,"NLA 2012"
"4043",6464,"NLA12_IA-132","6/7/2012",1,"IA","ptl",240,"NLA 2012"
"4044",6464,"NLA12_IA-132","6/7/2012",1,"IA","turb",43.78,"NLA 2012"
"4045",7125,"NLA12_IA-134","7/12/2012",1,"IA","ntl",1.354,"NLA 2012"
"4046",7125,"NLA12_IA-134","7/12/2012",1,"IA","ptl",175,"NLA 2012"
"4047",7125,"NLA12_IA-134","7/12/2012",1,"IA","turb",19.63,"NLA 2012"
"4048",6915,"NLA12_IA-150","7/2/2012",1,"IA","ntl",2.034,"NLA 2012"
"4049",6915,"NLA12_IA-150","7/2/2012",1,"IA","ptl",62,"NLA 2012"
"4050",6915,"NLA12_IA-150","7/2/2012",1,"IA","turb",4.63,"NLA 2012"
"4051",6977,"NLA12_IA-152","7/5/2012",1,"IA","ntl",1.418,"NLA 2012"
